Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
CA-Obs,H2O,,25,,,,01-Jan
CA-Obs,LE,,25,,,,01-Jan
CA-Obs,PA,,2,,,,01-Jan
CA-Obs,PPFD_IN,,25,RAD-Other,,Li-Cor LI190,01-Jan
CA-Obs,PPFD_DIF,,25,,,,01-Jan
CA-Obs,PPFD_OUT,,20,RAD-Other,,Li-Cor LI190,01-Jan
CA-Obs,SW_IN,,25,RAD-Other,,Kipp & Zonen CM11,01-Jan
CA-Obs,LW_IN,,25,,,,01-Jan
CA-Obs,LW_OUT,,20,,,,01-Jan
CA-Obs,SW_OUT,,20,RAD-Other,,Kipp & Zonen CM11,01-Jan
CA-Obs,RH,,25,RH-Other,,Vaisala HMP,01-Jan
CA-Obs,NETRAD,,25,,,,01-Jan
CA-Obs,SWC_1,,-0.025,,,,01-Jan
CA-Obs,SWC_2,,-0.075,,,,01-Jan
CA-Obs,TA,,25,TEMP-Other,,Vaisala HMP,01-Jan
CA-Obs,TS_1,,-0.02,TEMP-Other,,Campbell Scientific Copper-Constantan 105T thermocouple,01-Jan
CA-Ojp,G_1_1_1,,0,,,,02-May
CA-Obs,TS_2,,-0.05,TEMP-Other,,Campbell Scientific Copper-Constantan 105T thermocouple,01-Jan
CA-Obs,USTAR,,25,,,,01-Jan
CA-Obs,VPD_PI,,25,,,,01-Jan
CA-Obs,WD,,26,WIND-Other,,Young Propeller Anemometer,01-Jan
CA-Obs,WS,,26,,,,01-Jan
CA-Ojp,CO2_1_3_1,,28,,,,02-May
CA-Ojp,CO2_1_4_1,,25,GA-Other,,(IRGA) model LI-6262,02-May
CA-Ojp,FC,,28,,,,02-May
CA-Ojp,H,,28,,,,02-May
CA-Ojp,LE,,28,,,,02-May
CA-Ojp,PPFD_IN_1_1_1,,28,RAD-Other,,Li-Cor LI 190SB,02-May
CA-Ojp,PPFD_DIF,,28,,,,02-May
CA-Ojp,PPFD_OUT,,23,,,,02-May
CA-Ojp,PA,,2,,,,02-May
CA-Ojp,SW_IN,,28,RAD-Other,,Kipp & Zonen CM11,02-May
CA-Ojp,LW_IN,,28,RAD-Other,,Eppley PIR,02-May
CA-Ojp,LW_OUT,,23,RAD-Other,,Eppley PIR,02-May
CA-Ojp,SW_OUT,,23,RAD-Other,,Kipp & Zonen CM11,02-May
CA-Ojp,RH_1_1_1,,28,RH-Other,,Vaisala HMP in a gill radiation shield,02-May
CA-Ojp,NETRAD_1_1_1,,28,,,,02-May
US-Bn1,CO2_1,,9.5,,,,01-Jan
US-Bn1,FC,,9.5,,,,01-Jan
US-Bn1,G,,-0.1,,,,01-Jan
US-Bn1,H,,9.5,,,,01-Jan
US-Bn1,H2O,,9.5,,,,01-Jan
US-Bn1,LE,,9.5,,,,01-Jan
US-Bn1,PPFD_IN,,11.4,,,,01-Jan
US-Bn1,PA,,1.7,,,,01-Jan
US-Bn1,SW_IN,,11.4,RAD-Other,,LI200X,01-Jan
US-Bn1,SW_OUT,,10.7,RAD-Other,,Eppley,01-Jan
US-Bn1,RH,,7.4,,,,01-Jan
US-Bn1,NETRAD,,11,,,,01-Jan
US-Bn1,SWC_1,,-0.02,,,,01-Jan
US-Bn1,SWC_2,,-0.04,,,,01-Jan
US-Bn1,TA,,7.4,,,,01-Jan
US-Bn1,TS_1,,0,,,,01-Jan
US-Bn1,TS_2,,-0.025,,,,01-Jan
US-Bn1,USTAR,,9.5,,,,01-Jan
US-Bn1,VPD_PI,,7.4,,,,01-Jan
US-Bn1,WD,,11.8,,,,01-Jan
US-Bn1,WS,,11.8,,,,01-Jan
US-Bn2,CO2_1,,10,,,,01-Jan
US-Bn2,FC,,10,,,,01-Jan
US-Bn2,G,,-0.1,,,,01-Jan
US-Bn2,H,,10,,,,01-Jan
US-Bn2,H2O,,10,,,,01-Jan
US-Bn2,LE,,10,,,,01-Jan
US-Bn2,PPFD_IN,,11.4,,,,01-Jan
US-Bn2,P,,1,,,,01-Jan
US-Bn2,PA,,2,,,,01-Jan
US-Bn2,SW_IN,,11.4,RAD-Other,,LI200X,01-Jan
US-Bn2,RH,,6.3,,,,01-Jan
US-Bn2,NETRAD,,10.3,,,,01-Jan
US-Bn2,SWC_1,,-0.02,,,,01-Jan
US-Bn2,SWC_2,,-0.11,,,,01-Jan
US-Bn2,TA,,6.3,,,,01-Jan
US-Bn2,TS_1,,0,,,,01-Jan
US-Bn2,TS_2,,-0.025,,,,01-Jan
US-Bn2,USTAR,,10,,,,01-Jan
US-Bn2,VPD_PI,,6.3,,,,01-Jan
US-Bn2,WD,,12,,,,01-Jan
US-Bn2,WS,,12,,,,01-Jan
US-Bn3,CO2_1,,7.8,,,,01-Jan
US-Bn3,FC,,7.8,,,,01-Jan
US-Bn3,G,,-0.1,,,,01-Jan
US-Bn3,H,,7.8,,,,01-Jan
US-Bn3,H2O,,7.8,,,,01-Jan
US-Bn3,LE,,7.8,,,,01-Jan
US-Bn3,PPFD_IN,,9,,,,01-Jan
US-Bn3,P,,1,,,,01-Jan
US-Bn3,PA,,1,,,,01-Jan
US-Bn3,SW_IN,,9,RAD-Other,,LI200X,01-Jan
US-Bn3,SW_OUT,,7,RAD-Other,,Eppley,01-Jan
US-Bn3,RH,,5,,,,01-Jan
US-Bn3,NETRAD,,7,,,,01-Jan
US-Bn3,SWC_1,,-0.02,,,,01-Jan
US-Bn3,SWC_2,,-0.04,,,,01-Jan
US-Bn3,TA,,5,,,,01-Jan
US-Bn3,TS_1,,0,,,,01-Jan
US-Bn3,TS_2,,-0.025,,,,01-Jan
US-Bn3,USTAR,,7.8,,,,01-Jan
US-Bn3,VPD_PI,,5,,,,01-Jan
US-Bn3,WD,,9,,,,01-Jan
US-Bn3,WS,,9,,,,01-Jan
US-Bo1,RH,,3,,,,02-Jan
US-Bo1,SWC_1,,-0.1,,,,02-Jan
US-Bo1,SWC_2,,-0.2,,,,02-Jan
US-Bo1,TA,,3,,,,02-Jan
US-Bo1,TS_1,,-0.02,,,,02-Jan
US-Bo1,TS_2,,-0.04,,,,02-Jan
US-Bo1,WD,,10,,,,02-Jan
US-Bo1,WS,,10,,,,02-Jan
US-Bo2,WD,,10,,,,02-Jan
US-Bo2,WS,,10,,,,02-Jan
US-Br1,G,,,SOIL_H-Other,,REBS Gplate+storage; W m-2,01-Jan
US-Br1,SWC_1,,-0.05,,,,01-Jan
US-Br1,TS_1,,-0.02,,,,01-Jan
US-Br1,USTAR,,,WIND-Other,,CSAT u_star; m s-1,01-Jan
US-Br1,WD,,5.2,WIND-Other,,CSAT wnd_dir_compass; degrees,01-Jan
US-Br1,WS,,5.2,WIND-Other,,CSAT wnd_spd; m s-1,01-Jan
US-Br3,G,,,SOIL_H-Other,,REBS Gplate+storage; W m-2,01-Jan
US-Br3,SWC_1,,-0.05,,,,01-Jan
US-Br3,TS_1,,-0.02,,,,01-Jan
US-Br3,USTAR,,,WIND-Other,,CSAT u_star; m s-1,01-Jan
US-Br3,WD,,5.3,WIND-Other,,CSAT wnd_dir_compass; degrees,01-Jan
US-Br3,WS,,5.3,WIND-Other,,CSAT wnd_spd; m s-1,01-Jan
US-Brw,FC,,4.18,,,,02-Jan
US-Brw,G,,,SOIL_H-Other,,REBS) W m-2,02-Jan
US-Brw,H,,4.18,SA-Other,,Gill Inc.) W m-2 (at 4.18m),02-Jan
US-Brw,LE,,4.18,,,,02-Jan
US-Brw,NETRAD,,,RAD-Other,,REBS) W m-2,02-Jan
US-Brw,PPFD_IN,,1.2,RAD-Other,,LI-COR) uE m-2 s-1 (at 1.2m),02-Jan
US-Brw,PPFD_OUT,,1.2,RAD-Other,,LI-COR) uE m-2 s-1 (at 1.2m),02-Jan
US-Brw,RH,,2.5,RH-Other,,Vaisala) % (at 2.5m),02-Jan
US-Brw,TA,,2.5,TEMP-Other,,Vaisala) oC (at 2.5m),02-Jan
US-Brw,TS_1,,0,TEMP-Other,,Thermocouple,02-Jan
US-Brw,TS_2,,-0.05,,,,02-Jan
US-Brw,USTAR,,4.18,WIND-Other,,Gill Inc.) m s-1,02-Jan
US-Brw,VPD_PI,,2.5,,,,02-Jan
US-Brw,WD,,2.5,WIND-Other,,Gill Inc.) Degree (at 2.5m),02-Jan
US-Brw,WS,,2.5,WIND-Other,,Gill Inc.) m s-1 (at 2.5m),02-Jan
US-CaV,FC,,4,,,,02-Jan
US-CaV,H,,4,,,,02-Jan
US-CaV,LE,,4,,,,02-Jan
US-CaV,SWC_1,,-0.05,,,,02-Jan
US-CaV,SWC_2,,-0.1,,,,02-Jan
US-CaV,TS_1,,-0.02,,,,02-Jan
US-CaV,TS_2,,-0.04,,,,02-Jan
US-CaV,WD,,4,,,,02-Jan
US-CaV,WS,,4,,,,02-Jan
US-Ced,CO2_1,,17,,,,07-Jan
US-Ced,FC,,17,,,,07-Jan
US-Ced,G,,-0.1,,,,07-Jan
US-Ced,H,,17,,,,07-Jan
US-Ced,LE,,17,,,,07-Jan
US-Ced,PPFD_IN,,15,,,,07-Jan
US-Ced,SW_IN,,15,,,,07-Jan
US-Ced,RH,,15,,,,07-Jan
US-Ced,NETRAD,,15,,,,07-Jan
US-Ced,TA,,15,,,,07-Jan
US-Ced,TS_1,,-0.05,,,,07-Jan
US-Ced,USTAR,,17,,,,07-Jan
US-Ced,VPD_PI,,15,,,,07-Jan
US-Ced,WD,,15,,,,07-Jan
US-Ced,WS,,15,,,,07-Jan
US-ChR,SWC_1,,-0.05,,,,02-Jan
US-ChR,SWC_2,,-0.1,,,,02-Jan
US-ChR,TS_1,,-0.02,,,,02-Jan
US-ChR,TS_2,,-0.04,,,,02-Jan
US-ChR,WS,,43,,,,02-Jan
US-Cop,CO2,,1.85,,,,02-May
US-Cop,FC,,1.85,,,,02-May
US-Cop,G,,-0.1,,,,02-May
US-Cop,H,,1.85,,,,02-May
US-Cop,LE,,1.85,,,,02-May
US-Cop,P,,1,,,,02-May
US-Cop,SW_IN,,3,,,,02-May
US-Cop,SW_OUT,,3,,,,02-May
US-Cop,RH_1_1_1,,3,,,,02-May
US-Cop,NETRAD,,3,,,,02-May
US-Cop,SWC_1_1_1,,-0.05,,,,02-May
US-Cop,SWC_2_2_1,,-0.1,,,,02-May
US-Cop,TA_1_1_1,,3,,,,02-May
US-Cop,TS_1_1_1,,-0.05,,,,02-May
US-Cop,TS_2_2_1,,-0.1,,,,02-May
US-Cop,USTAR,,1.85,,,,02-May
US-Cop,VPD_PI_1_1_1,,3,,,,02-May
US-Cop,WD_1_1_1,,3,,,,02-May
US-Cop,WS_1_1_1,,3,,,,02-May
US-Cop,ZL,,1.85,,,,02-May
US-CPk,CO2_1,,17.7,,,,02-Jan
US-CPk,FC,,17.7,SA-Other,,CSAT/LI7500,02-Jan
US-CPk,G,,-0.05,,,,02-Jan
US-CPk,H,,17.7,SA-Other,,CSAT/LI7500,02-Jan
US-CPk,H2O,,17.7,,,,02-Jan
US-CPk,LE,,17.7,SA-Other,,CSAT/LI7500,02-Jan
US-CPk,PPFD_IN,,18,,,,02-Jan
US-CPk,SW_IN,,17.1,RAD-Other,,CNR1,02-Jan
US-CPk,LW_IN,,17.1,RAD-Other,,CNR1,02-Jan
US-CPk,LW_OUT,,17.1,RAD-Other,,CNR1,02-Jan
US-CPk,SW_OUT,,17.1,RAD-Other,,CNR1,02-Jan
US-CPk,RH,,17.7,,,,02-Jan
US-CPk,NETRAD,,17.1,RAD-Other,,CNR1,02-Jan
US-CPk,SWC_2,,-0.45,,,,02-Jan
US-CPk,TA,,17.7,,,,02-Jan
US-CPk,TS_2,,-0.3,,,,02-Jan
US-CPk,USTAR,,17.7,WIND-Other,,CSAT,02-Jan
US-CPk,TS_1,,-0.1,TEMP-Other,,Thermocouple,02-Jan
US-CPk,VPD_PI,,17.7,,,,02-Jan
US-CPk,WD,,17.7,WIND-Other,,CSAT,02-Jan
US-CPk,WS,,17.7,,,,02-Jan
US-CRT,CH4,,2,GA_OP-LI-COR LI-7700,,,04-May
US-CRT,CO2,,2,GA_OP-LI-COR LI-7500,,,04-May
US-CRT,FC,,2,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,04-May
US-CRT,FCH4,,2,GA_OP-LI-COR LI-7700,SA-Campbell CSAT-3,,04-May
US-CRT,G_1_1_1,,-0.1,SOIL_H-Plate,,,04-May
US-CRT,H,,2,SA-Campbell CSAT-3,,,04-May
US-CRT,H2O,,2,GA_OP-LI-COR LI-7500,,,04-May
US-CRT,MO_LENGTH,,2,,,,04-May
US-CRT,LE,,2,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,04-May
US-CRT,NEE_PI,,,GA_OP-LI-COR LI-7500,SA-Campbell CSAT-3,,04-May
US-CRT,PPFD_IN,,2.5,RAD-PAR Quantum,,,04-May
US-CRT,P,,2.5,RAIN-TipBucGauge,,,04-May
US-CRT,PA,,0.5,PRES-ElectBar,,,04-May
US-CRT,SW_IN,,2,RAD-Pyrrad-SW+LW,,,04-May
US-CRT,LW_IN,,2,RAD-Pyrrad-SW+LW,,,04-May
US-CRT,LW_OUT,,2,RAD-Pyrrad-SW+LW,,,04-May
US-CRT,SW_OUT,,2,RAD-Pyrrad-SW+LW,,,04-May
US-CRT,RH,,2,RH-Capac,,,04-May
US-CRT,NETRAD,,2,RAD-Pyrrad-SW+LW,,,04-May
US-CRT,SWC,,-0.15,SWC-TDR,,,04-May
US-CRT,TA,,2,TEMP-ElectResis,,,04-May
US-CRT,TS_1_1_1,,-0.1,TEMP-Thermis,,,04-May
US-CRT,TS_2_1_1,,-0.1,TEMP-Thermis,,,04-May
US-CRT,USTAR,,2,SA-Campbell CSAT-3,,,04-May
US-CRT,V_SIGMA,,2,SA-Campbell CSAT-3,,,04-May
US-CRT,WTD,,-3,WTD-Press,,,04-May
US-CRT,WD,,2,SA-Campbell CSAT-3,,,04-May
US-CRT,WS,,2,SA-Campbell CSAT-3,,,04-May
US-CRT,W_SIGMA,,2,SA-Campbell CSAT-3,,,04-May
US-CRT,ZL,,2,,,,04-May
US-Ctn,FC,,5,,,,02-Jan
US-Ctn,H,,5,,,,02-Jan
US-Ctn,LE,,5,,,,02-Jan
US-Dia,CO2_1,,2.1,GA_OP-Campbell EC150,,,01-Jan
US-Dia,FC,,2.1,GA_OP-Campbell EC150,SA-Campbell CSAT-3,,01-Jan
US-Dia,G,,0,,,,01-Jan
US-Dia,H,,2.1,SA-Campbell CSAT-3,,,01-Jan
US-Dia,H2O,,2.1,GA_OP-Campbell EC150,,,01-Jan
US-Dia,LE,,2.1,GA_OP-Campbell EC150,SA-Campbell CSAT-3,,01-Jan
US-Dia,NEE_PI,,2.1,,,,01-Jan
US-Dia,P,,0,,,,01-Jan
US-Dia,PA,,2.2,,,,01-Jan
US-Dia,SW_IN,,2.2,,,,01-Jan
US-Dia,SW_DIF,,2.2,,,,01-Jan
US-Dia,LW_IN,,2.2,,,,01-Jan
US-Dia,LW_OUT,,2.2,,,,01-Jan
US-Dia,SW_OUT,,2.2,,,,01-Jan
US-Dia,RH,,2.2,,,,01-Jan
US-Dia,NETRAD,,2.2,,,,01-Jan
US-Dia,TA,,2.2,,,,01-Jan
US-Dia,TS_1,,0,,,,01-Jan
US-Dia,TS_2,,-0.05,,,,01-Jan
US-Dia,USTAR,,2.1,,,,01-Jan
US-Dia,VPD_PI,,2.2,,,,01-Jan
US-Dix,CO2_1,,17,,,,02-Jan
US-Dix,FC,,17,,,,02-Jan
US-Dix,G,,-0.1,,,,02-Jan
US-Dix,H,,17,,,,02-Jan
US-Dix,LE,,17,,,,02-Jan
US-Dix,PPFD_IN,,15,,,,02-Jan
US-Dix,SW_IN,,15,,,,02-Jan
US-Dix,RH,,15,,,,02-Jan
US-Dix,NETRAD,,15,,,,02-Jan
US-Dix,TA,,15,,,,02-Jan
US-Dix,TS_1,,-0.05,,,,02-Jan
US-Dix,VPD_PI,,15,,,,02-Jan
US-Dix,WD,,15,,,,02-Jan
US-Dix,WS,,15,,,,02-Jan
US-Dk1,CO2_1_1_1,,2.8,,,,04-May
US-Dk1,CO2_2_1_1,,2.8,,,,04-May
US-Dk1,FC,,2.8,,,,04-May
US-Dk1,FC_PI_F,,2.8,,,,04-May
US-Dk1,G,,-0.05,,,,04-May
US-Dk1,FH2O,,2.8,,,,04-May
US-Dk1,FH2O_PI_F,,2.8,,,,04-May
US-Dk1,H,,2.8,,,,04-May
US-Dk1,H_PI_F,,2.8,,,,04-May
US-Dk1,LE,,2.8,,,,04-May
US-Dk1,TA,,2.8,,,,04-May
US-Dk1,LE_PI_F,,2.8,,,,04-May
US-Dk1,PPFD_IN,,1.9,,,,04-May
US-Dk1,PPFD_IN_PI_F,,1.9,,,,04-May
US-Dk1,P,,1.9,,,,04-May
US-Dk1,RH,,2.8,,,,04-May
US-Dk1,RH_PI_F,,2.8,,,,04-May
US-Dk1,NETRAD,,1.9,,,,04-May
US-Dk1,SWC_1_1_1,,-0.1,,,,04-May
US-Dk1,SWC_1_2_1,,-0.25,,,,04-May
US-Dk1,TA_PI_F,,2.8,,,,04-May
US-Dk1,TS_1_1_1,,-0.1,,,,04-May
US-Dk1,TS_1_2_1,,-0.25,,,,04-May
US-Dk1,WS,,2.8,,,,04-May
US-Dk1,WS_PI_F,,2.8,,,,04-May
US-Dk2,CO2_1_1_1,,39.8,,,,04-May
US-Dk2,CO2_2_1_1,,39.8,GA-Other,,ling point is reported CO2 in,04-May
US-Dk2,FC,,39.8,,,,04-May
US-Dk2,G,,-0.05,,,,04-May
US-Dk2,FC_PI_F,,39.8,,,,04-May
US-Dk2,FH2O,,39.8,,,,04-May
US-Dk2,FH2O_PI_F,,39.8,,,,04-May
US-Dk2,H,,39.8,,,,04-May
US-Dk2,H_PI_F,,39.8,,,,04-May
US-Dk2,LE,,39.8,,,,04-May
US-Dk2,LE_PI_F,,39.8,,,,04-May
US-Dk2,SWC_1_1_1,,-0.1,,,,04-May
US-Dk2,SWC_1_2_1,,-0.25,,,,04-May
US-Dk2,TS_1_1_1,,-0.1,,,,04-May
US-Dk2,TS_1_2_1,,-0.25,,,,04-May
US-Dk3,CO2_1_1_1,,20.2,,,,04-May
US-Dk3,CO2_2_1_1,,20.2,,,,04-May
US-Dk3,FC,,20.2,,,,04-May
US-Dk3,FC_PI_F,,20.2,,,,04-May
US-Dk3,G,,-0.05,,,,04-May
US-Dk3,FH2O,,20.2,,,,04-May
US-Dk3,FH2O_PI_F,,20.2,,,,04-May
US-Dk3,H,,20.2,,,,04-May
US-Dk3,LW_OUT_PI_F,,20.2,,,,04-May
US-Dk3,SW_OUT,,20.2,,,,04-May
US-Dk3,SW_OUT_PI_F,,20.2,,,,04-May
US-Dk3,H_PI_F,,20.2,,,,04-May
US-Dk3,H2O,,20.2,,,,04-May
US-Dk3,LE,,20.2,,,,04-May
US-Dk3,LE_PI_F,,20.2,,,,04-May
US-Dk3,PPFD_IN,,20.2,,,,04-May
US-Dk3,PPFD_IN_PI_F,,20.2,,,,04-May
US-Dk3,P,,20.2,,,,04-May
US-Dk3,SW_IN,,20.2,,,,04-May
US-Dk3,SW_IN_PI_F,,20.2,,,,04-May
US-Dk3,LW_IN_PI_F,,20.2,,,,04-May
US-Dk3,LW_IN,,20.2,,,,04-May
US-Dk3,LW_OUT,,20.2,,,,04-May
US-Dk3,RH,,20.2,,,,04-May
US-Dk3,RH_PI_F,,20.2,,,,04-May
US-Dk3,NETRAD,,20.2,,,,04-May
US-Dk3,WS_PI_F,,20.2,,,,04-May
US-Dk3,TA,,20.2,,,,04-May
US-Dk3,TA_PI_F,,20.2,,,,04-May
US-Dk3,TS_1_2_1,,-0.1,,,,04-May
US-Dk3,TS_1_3_1,,-0.3,,,,04-May
US-Dk3,WS,,20.2,,,,04-May
US-Elm,CO2_1,,3.3,,,,04-Jan
US-Elm,FC,,3.3,,,,04-Jan
US-Elm,G,,-0.1,,,,04-Jan
US-Elm,H,,3.3,,,,04-Jan
US-Elm,H2O,,3.3,,,,04-Jan
US-Elm,LE,,3.3,,,,04-Jan
US-Elm,PPFD_IN,,3.3,,,,04-Jan
US-Elm,SW_IN,,3.3,,,,04-Jan
US-Elm,SW_OUT,,3.3,,,,04-Jan
US-Elm,RH,,3.3,,,,04-Jan
US-Elm,NETRAD,,3.3,,,,04-Jan
US-Elm,TA,,3.3,,,,04-Jan
US-Elm,USTAR,,3.3,,,,04-Jan
US-Elm,TS_2,,-0.1,,,,04-Jan
US-Elm,TS_1,,-0.05,,,,04-Jan
US-Elm,VPD_PI,,3.3,,,,04-Jan
US-Elm,WD,,3.3,,,,04-Jan
US-Elm,WS,,3.3,,,,04-Jan
US-EML,CO2,,3.64,GA_OP-LI-COR LI-7500A,,,03-May
US-EML,FC,,,GA_OP-LI-COR LI-7500A,,,03-May
US-Esm,CO2_1,,3.3,,,,05-Jan
US-Esm,FC,,3.3,,,,05-Jan
US-Esm,G,,-0.1,,,,05-Jan
US-Esm,H,,3.3,,,,05-Jan
US-Esm,H2O,,3.3,,,,05-Jan
US-Esm,LE,,3.3,,,,05-Jan
US-Esm,PPFD_IN,,3.3,,,,05-Jan
US-Esm,SW_IN,,3.3,,,,05-Jan
US-Esm,SW_OUT,,3.3,,,,05-Jan
US-Esm,RH,,3.3,,,,05-Jan
US-Esm,NETRAD,,3.3,,,,05-Jan
US-Esm,TA,,3.3,,,,05-Jan
US-Esm,TS_2,,-0.1,,,,05-Jan
US-Esm,USTAR,,3.3,,,,05-Jan
US-Esm,TS_1,,-0.05,,,,05-Jan
US-Esm,VPD_PI,,3.3,,,,05-Jan
US-Esm,WD,,3.3,,,,05-Jan
US-Esm,WS,,3.3,,,,05-Jan
US-Fmf,CO2,,23,,,,06-May
US-Fmf,FC,,23,,,,06-May
US-Fmf,H,,23,,,,06-May
US-Fmf,LE,,23,,,,06-May
US-Fmf,SWC_1_1_1,,-0.02,,,,06-May
US-Fmf,SWC_1_2_1,,-0.1,,,,06-May
US-Fmf,TS_1_1_1,,-0.02,,,,06-May
US-Fmf,TS_1_2_1,,-0.1,,,,06-May
US-Fmf,WS,,23,,,,06-May
US-FPe,FC,,3.5,,,,02-Jan
US-FPe,H,,3.5,,,,02-Jan
US-FPe,LE,,3.5,,,,02-Jan
US-FPe,TA,,2,,,,02-Jan
US-FPe,WD,,3.5,,,,02-Jan
US-FPe,WS,,3.5,,,,02-Jan
US-FR2,CO2_1,,7.97,,,,02-Jan
US-FR2,FC,,7.97,,,,02-Jan
US-FR2,H,,7.97,,,,02-Jan
US-FR2,LE,,7.97,,,,02-Jan
US-FR2,SWC_1,,-0.02,,,,02-Jan
US-FR2,TS_1,,-0.02,,,,02-Jan
US-FR3,CO2_1,,14,,,,01-Jan
US-FR3,FC,,14,,,,01-Jan
US-FR3,G,,-0.05,,,,01-Jan
US-FR3,H,,14,,,,01-Jan
US-FR3,H2O,,14,,,,01-Jan
US-FR3,LE,,14,,,,01-Jan
US-FR3,PPFD_IN,,14,,,,01-Jan
US-FR3,PA,,14,,,,01-Jan
US-FR3,SW_IN,,14,,,,01-Jan
US-FR3,LW_IN,,14,,,,01-Jan
US-FR3,LW_OUT,,14,,,,01-Jan
US-FR3,SW_OUT,,14,,,,01-Jan
US-FR3,RH,,14,,,,01-Jan
US-FR3,NETRAD,,14,,,,01-Jan
US-FR3,SWC_1,,-0.1,,,,01-Jan
US-FR3,SWC_2,,-0.2,,,,01-Jan
US-FR3,TA,,14,,,,01-Jan
US-FR3,TS_1,,-0.02,,,,01-Jan
US-FR3,TS_2,,-0.1,,,,01-Jan
US-FR3,USTAR,,14,,,,01-Jan
US-FR3,VPD_PI,,14,,,,01-Jan
US-FR3,WD,,14,,,,01-Jan
US-FR3,WS,,14,,,,01-Jan
US-Fuf,CO2,,23,,,,06-May
US-Fuf,FC,,23,,,,06-May
US-Fuf,H,,23,,,,06-May
US-Fuf,LE,,23,,,,06-May
US-Fuf,SWC_1_1_1,,-0.02,,,,06-May
US-Fuf,SWC_1_2_1,,-0.1,,,,06-May
US-Fuf,TS_1_1_1,,-0.02,,,,06-May
US-Fuf,TS_1_2_1,,-0.1,,,,06-May
US-Fuf,WS,,23,,,,06-May
US-Fwf,G,,-0.08,,,,08-May
US-Fwf,PPFD_IN,,2,,,,08-May
US-Fwf,PPFD_DIF,,2,,,,08-May
US-Fwf,PPFD_OUT,,2,,,,08-May
US-Fwf,SW_IN,,2,,,,08-May
US-Fwf,LW_IN,,2,,,,08-May
US-Fwf,LW_OUT,,2,,,,08-May
US-Fwf,SW_OUT,,2,,,,08-May
US-Fwf,RH,,2,,,,08-May
US-Fwf,NETRAD,,2,,,,08-May
US-Fwf,SWC_1_1_1,,-0.02,,,,08-May
US-Fwf,SWC_1_2_1,,-0.1,,,,08-May
US-Fwf,TA,,2,,,,08-May
US-Fwf,TS_1_1_1,,-0.02,,,,08-May
US-Fwf,TS_1_2_1,,-0.1,,,,08-May
US-Fwf,VPD_PI,,2,,,,08-May
US-Fwf,WD,,2,,,,08-May
US-Fwf,WS,,2,,,,08-May
US-GBT,CO2_1,,27.12,,,,01-Jan
US-GBT,FC,,27.12,,,,01-Jan
US-GBT,G,,0,,,,01-Jan
US-GBT,H,,27.12,,,,01-Jan
US-GBT,H2O,,27.12,,,,01-Jan
US-GBT,LE,,27.12,,,,01-Jan
US-GBT,PPFD_IN,,27.9,,,,01-Jan
US-GBT,PPFD_OUT,,27.5,,,,01-Jan
US-GBT,PA,,27.4,,,,01-Jan
US-GBT,SW_IN,,28.7,,,,01-Jan
US-GBT,LW_IN,,28.7,,,,01-Jan
US-GBT,LW_OUT,,28.7,,,,01-Jan
US-GBT,SW_OUT,,28.7,,,,01-Jan
US-GBT,RH,,27.8,,,,01-Jan
US-GBT,NETRAD,,28.7,,,,01-Jan
US-GBT,SWC_2,,-0.1,,,,01-Jan
US-GBT,SWC_1,,-0.05,,,,01-Jan
US-GBT,TA,,27.8,,,,01-Jan
US-GBT,VPD_PI,,27.8,,,,01-Jan
US-GBT,TS_2,,-0.1,,,,01-Jan
US-GBT,TS_1,,-0.05,,,,01-Jan
US-GBT,USTAR,,27.12,,,,01-Jan
US-GBT,WD,,30.2,,,,01-Jan
US-GBT,WS,,30.2,,,,01-Jan
US-GLE,H_1_1_1,,22.65,,,,07-May
US-GLE,H_1_2_1,,6.5,,,,07-May
US-GLE,CO2,,22.65,,,,07-May
US-GLE,FC_1_1_1,,22.65,GA_OP-LI-COR LI-7500,,,07-May
US-GLE,FC_1_2_1,,6.5,,,,07-May
US-GLE,G_1_1_1,,0,,,,07-May
US-GLE,G_2_1_1,,0,,,,07-May
US-GLE,G_2_2_1,,-0.09,,,,07-May
US-GLE,G_1_2_1,,-0.09,,,,07-May
US-GLE,FH2O_1_1_1,,22.65,,,,07-May
US-GLE,FH2O_1_2_1,,6.5,,,,07-May
US-GLE,H2O,,22.65,,,,07-May
US-GLE,LE_1_1_1,,22.65,,,,07-May
US-GLE,LE_1_2_1,,6.5,,,,07-May
US-GLE,NEE_PI_1_1_1,,6.5,,,,07-May
US-GLE,PPFD_IN,,24.4,,,,07-May
US-GLE,PA,,23.4,,,,07-May
US-GLE,SW_IN_1_1_1,,24.4,,,,07-May
US-GLE,SW_IN_1_2_1,,6.5,,,,07-May
US-GLE,LW_IN_1_1_1,,24.4,,,,07-May
US-GLE,LW_IN_1_2_1,,6.5,,,,07-May
US-GLE,LW_OUT_1_1_1,,24.4,,,,07-May
US-GLE,LW_OUT_1_2_1,,6.5,,,,07-May
US-Bar,SWC_1_1_1,2004,-0.1,SWC-TDR,,CS615; one of 4 sensors in different microtopographic positions,05-May
US-GLE,SW_OUT_1_1_1,,24.4,,,,07-May
US-GLE,SW_OUT_1_2_1,,6.5,,,,07-May
US-GLE,RH_1_1_1,,23.4,,,,07-May
